petalID,doi,venue,url,title_full,abstract_full,LABEL-distribute_liquids,LABEL-sense_light_in_the_visible_spectrum,LABEL-optimize_shape/materials,LABEL-sense_chemicals,LABEL-manage_stress/strain,LABEL-actively_move_through/on_liquids,LABEL-manage_shear,LABEL-chemically_assemble_organic_compounds,LABEL-change_size/shape,LABEL-attach_temporarily,LABEL-protect_from_chemicals,LABEL-regulate_reproduction_or_growth,LABEL-chemically_break_down_organic_compounds,LABEL-send_chemical_signals,LABEL-attach_permanently,LABEL-protect_from_loss_of_liquids,LABEL-actively_move_through_gases,LABEL-send_light_signals_in_the_visible_spectrum,LABEL-distribute_solids,LABEL-passively_move_through/on_liquids,LABEL-manage_wear,LABEL-respond_to_signals,LABEL-protect_from_temperature,LABEL-physically_assemble_structure,LABEL-prevent_fracture/rupture,LABEL-protect_from_microbes,LABEL-manage_impact,LABEL-protect_from_excess_liquids,LABEL-actively_move_through/on_solids,species,absolute_relevancy,relative_relevancy
0,10.1098/RSBL.2009.0934,"[""Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior"", 'Proceedings of The Royal Society B: Biological Sciences', 'Biology Letters']",https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0934,Building a home from foam—túngara frog foam nest architecture and three-phase construction process,"Frogs that build foam nests floating on water face the problems of over-dispersion of the secretions used and eggs being dangerously exposed at the foam : air interface. Nest construction behaviour of túngara frogs, Engystomops pustulosus, has features that may circumvent these problems. Pairs build nests in periodic bursts of foam production and egg deposition, three discrete phases being discernible. The first is characterized by a bubble raft without egg deposition and an approximately linear increase in duration of mixing events with time. This phase may reduce initial over-dispersion of foam precursor materials until a critical concentration is achieved. The main building phase is marked by mixing events and start-to-start intervals being nearly constant in duration. During the final phase, mixing events do not change in duration but intervals between them increase in an exponential-like fashion. Pairs joining a colonial nesting abbreviate their initial phase, presumably by exploiting a pioneer pair's bubble raft, thereby reducing energy and material expenditure, and time exposed to predators. Finally, eggs are deposited only in the centre of nests with a continuously produced, approximately 1 cm deep egg-free cortex that protectively encloses hatched larvae in stranded nests.",0.005399006,0.002109709,0.013186486,0.004126454,0.021882577,0.006931718,0.003900202,0.02537225,0.008047057,0.007391842,0.01219218,0.003647751,0.0123947,0.004428756,0.021770004,0.005145517,0.004494175,0.005006751,0.013850511,0.004746569,0.004578424,0.005577957,0.005919506,0.311844,0.010476196,0.005763929,0.01462313,0.011381056,0.003392118,"['engystomops pustulosus', 'tungara frog', 'frogs']","[0.015873015873015, 0.015873015873015, 0.031746031746031]","[0.5, 0.5, 1.0]"
1,10.1073/PNAS.0912477107,['Proceedings of the National Academy of Sciences of the United States of America'],https://www.pnas.org/content/107/15/6941,"A nocturnal mammal, the greater mouse-eared bat, calibrates a magnetic compass by the sun","Recent evidence suggests that bats can detect the geomagnetic field, but the way in which this is used by them for navigation to a home roost remains unresolved. The geomagnetic field may be used by animals both to indicate direction and to locate position. In birds, directional information appears to be derived from an interaction of the magnetic field with either the sun or the stars, with some evidence suggesting that sunset/sunrise provides the primary directional reference by which a magnetic compass is calibrated daily. We demonstrate that homing greater mouse-eared bats (Myotis myotis) calibrate a magnetic compass with sunset cues by testing their homing response after exposure to an altered magnetic field at and after sunset. Magnetic manipulation at sunset resulted in a counterclockwise shift in orientation compared with controls, consistent with sunset calibration of the magnetic field, whereas magnetic manipulation after sunset resulted in no change in orientation. Unlike in birds, however, the pattern of polarization was not necessary for the calibration. For animals that occupy ecological niches where the sunset is rarely observed, this is a surprising finding. Yet it may indicate the primacy of the sun as an absolute geographical reference not only for birds but also within other vertebrate taxa.",0.021369407,0.8522356,0.023534078,0.02511382,0.009214392,0.033808347,0.014394589,0.013184494,0.009261929,0.009594347,0.008105434,0.007792373,0.010877268,0.013298566,0.004401433,0.004638648,0.012485113,0.01006517,0.010032137,0.016169105,0.010169375,0.024958106,0.18751726,0.008397974,0.011619465,0.016512062,0.011599811,0.007499155,0.013098937,"['myotis myotis', 'mouse-eared bat', 'bird', 'birds', 'myotis', 'bats']","[0.0, 0.0, 0.054545454545454, 0.054545454545454, 0.018181818181818, 0.036363636363636]","[0.0, 0.0, 1.0, 1.0, 0.33333333333333304, 0.6666666666666661]"
2,10.1242/JEB.042937,"['The Journal of Experimental Biology', 'Current Biology']",https://jeb.biologists.org/content/213/19/3364,Polarization sensitivity in two species of cuttlefish – Sepia plangon (Gray 1849) and Sepia mestus (Gray 1849) – demonstrated with polarized optomotor stimuli,"SUMMARY The existence of polarization sensitivity (PS), most likely resulting from the orthogonal arrangement of microvilli in photoreceptors, has been proposed in cephalopods for some time, although it has rarely been examined behaviourally. Here, we tested the mourning cuttlefish, Sepia plangon, and the reaper cuttlefish, Sepia mestus, for polarization sensitivity using a large-field optomotor stimulus containing polarization contrast. Polaroid filter drums with stripes producing alternating e-vectors were rotated around free-moving animals. Polarized optomotor responses were displayed, and these responses were similar to those performed in response to a black-and-white, vertically-striped drum, whereas no responses were displayed to a plain polarizing control drum producing just a vertical e-vector. This indicates that the animals are able to see the contrast between adjacent stripes in the polarizing drum. To our knowledge, this is the first demonstration of functional polarization sensitivity in cuttlefish.",0.016455313,0.8765598,0.013040058,0.016741784,0.0089167,0.012177452,0.009575164,0.013008387,0.00891448,0.010444194,0.004844858,0.006975363,0.010169835,0.011547499,0.007589605,0.004605841,0.008131902,0.014489764,0.008538798,0.011235584,0.00748203,0.015898742,0.029857349,0.008363122,0.012124795,0.014020986,0.012416041,0.009874535,0.012693919,"['drums', 'cephalopods', 'sepia plangon', 'cuttlefish']","[0.02127659574468, 0.02127659574468, 0.02127659574468, 0.063829787234042]","[0.33333333333333304, 0.33333333333333304, 0.33333333333333304, 1.0]"
3,10.1038/NCOMMS1373,['Nature Communications'],https://www.nature.com/articles/ncomms1373,Identification and characterization of a multidomain hyperthermophilic cellulase from an archaeal enrichment.,"Despite extensive studies on microbial and enzymatic lignocellulose degradation, relatively few Archaea are known to deconstruct crystalline cellulose. Here we describe a consortium of three hyperthermophilic archaea enriched from a continental geothermal source by growth at 90 °C on crystalline cellulose, representing the first instance of Archaea able to deconstruct lignocellulose optimally above 90 °C. Following metagenomic studies on the consortium, a 90 kDa, multidomain cellulase, annotated as a member of the TIM barrel glycosyl hydrolase superfamily, was characterized. The multidomain architecture of this protein is uncommon for hyperthermophilic endoglucanases, and two of the four domains of the enzyme have no characterized homologues. The recombinant enzyme has optimal activity at 109 °C, a half-life of 5 h at 100 °C, and resists denaturation in strong detergents, high-salt concentrations, and ionic liquids. Cellulases active above 100 °C may assist in biofuel production from lignocellulosic feedstocks by hydrolysing cellulose under conditions typically employed in biomass pretreatment.",0.007389533,0.006977715,0.016380468,0.007463218,0.010033056,0.005980044,0.007195028,0.076917335,0.010857944,0.012144499,0.011730015,0.007702711,0.7161919,0.007937851,0.021126848,0.010259617,0.008337825,0.008018378,0.007110432,0.00997582,0.005481533,0.005743315,0.00854343,0.010139487,0.009713644,0.019286158,0.00773223,0.010875083,0.012907107,[],[],[]
4,10.1111/J.1529-8817.2010.00828.X,"['The Journal of Experimental Biology', 'Nature', 'Journal of Phycology']",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.2010.00828.x,"DIFFERENCES IN POLYSACCHARIDE STRUCTURE BETWEEN CALCIFIED AND UNCALCIFIED SEGMENTS IN THE CORALLINE CALLIARTHRON CHEILOSPORIOIDES (CORALLINALES, RHODOPHYTA) 1","The articulated coralline Calliarthron cheilosporioides Manza produces segmented fronds composed of calcified segments (intergenicula) separated by uncalcified joints (genicula), which allow fronds to bend and reorient under breaking waves in the wave‐swept intertidal zone. Genicula are formed when calcified cells decalcify and restructure to create flexible tissue. The present study has identified important differences in the main agaran disaccharidic repeating units [→3)‐β‐d‐Galp (1→ 4)‐α‐l‐Galp(1→] synthesized by genicular and intergenicular segments. Based on chemical and spectroscopical analyses, we report that genicular cells from C. cheilosporioides biosynthesize a highly methoxylated galactan at C‐6 position with low levels of branching with xylose side stubs on C‐6 of the [→3)‐β‐d‐Galp (1→] units, whereas intergenicular segments produce xylogalactans with high levels of xylose and low levels of 6‐O‐methyl β‐d‐Gal units. These data suggest that, during genicular development, xylosyl branched, 3‐linked β‐d‐Galp units present in the xylogalactan backbones from intergenicular walls are mostly replaced by 6‐O‐methyl‐d‐galactose units. We speculate that this structural shift is a consequence of a putative and specific methoxyl transferase that blocks the xylosylation on C‐6 of the 3‐linked β‐d‐Galp units. Changes in galactan substitutions may contribute to the distinct mechanical properties of genicula and may lend insight into the calcification process in coralline algae.",0.01989909,0.018011574,0.028753176,0.007579254,0.8410417,0.013280959,0.85530156,0.025789721,0.014150244,0.015768124,0.012811139,0.006888663,0.021971768,0.014828179,0.017156227,0.05406795,0.043853775,0.012814662,0.013978037,0.013500752,0.049886964,0.01960727,0.026650503,0.018502709,0.031503163,0.038180787,0.03317987,0.017059777,0.022353915,['calliarthron cheilosporioides'],[0.012987012987012],[1.0]
5,10.1098/RSPB.2008.1939,"[""Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior"", 'Proceedings of The Royal Society B: Biological Sciences', 'Biology Letters']",https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1939,Foam nest components of the túngara frog: a cocktail of proteins conferring physical and biological resilience,"The foam nests of the túngara frog (Engystomops pustulosus) form a biocompatible incubation medium for eggs and sperm while resisting considerable environmental and microbiological assault. We have shown that much of this behaviour can be attributed to a cocktail of six proteins, designated ranaspumins (Rsn-1 to Rsn-6), which predominate in the foam. These fall into two discernable classes based on sequence analysis and biophysical properties. Rsn-2, with an amphiphilic amino acid sequence unlike any hitherto reported, exhibits substantial detergent-like surfactant activity necessary for production of foam, yet is harmless to the membranes of eggs and spermatozoa. A further four (Rsn-3 to Rsn-6) are lectins, three of which are similar to fucolectins found in teleosts but not previously identified in a land vertebrate, though with a carbohydrate binding specificity different from previously described fucolectins. The sixth, Rsn-1, is structurally similar to proteinase inhibitors of the cystatin class, but does not itself appear to exhibit any such activity. The nest foam itself, however, does exhibit potent cystatin activity. Rsn-encoding genes are transcribed in many tissues of the adult frogs, but the full cocktail is present only in oviduct glands. Combinations of lectins and cystatins have known roles in plants and animals for defence against microbial colonization and insect attack. Túngara nest foam displays a novel synergy of selected elements of innate defence plus a specialized surfactant protein, comprising a previously unreported strategy for protection of unattended reproductive stages of animals.",0.00670988,0.002411733,0.003749722,0.008382871,0.004114308,0.005657113,0.002710883,0.007356826,0.006878329,0.02697107,0.04460095,0.022426821,0.025794374,0.003731543,0.031256787,0.007134256,0.002594644,0.006761426,0.025765108,0.006268438,0.005675661,0.00345751,0.004807005,0.049519457,0.005883154,0.061188225,0.004552519,0.046494514,0.002156182,"['engystomops pustulosus', 'plants', 'tungara frog', 'frogs']","[0.0, 0.0125, 0.0125, 0.0125]","[0.0, 1.0, 1.0, 1.0]"
6,10.1016/J.ASD.2005.02.002,"['Journal of Ethology', 'Arthropod Structure & Development']",https://www.sciencedirect.com/science/article/abs/pii/S1467803905000253?via%3Dihub,"The suctorial organ of the Solifugae (Arachnida, Solifugae)","The ability of members of the arachnid order Solifugae to climb smooth, vertical surfaces and the organs involved in this behavior are investigated. Macroscopic, microscopic, and scanning electron microscopic observations are made of a palpal organ called the suctorial organ. Observations of the behavior but not the microstructure have been made in the past. Histological examination illustrates the internal gross anatomy of this structure and scanning electron microscopy demonstrates the fine structure in adults of four genera: Eremobates (Eremobatidae), Eremochelis (Eremobatidae), Eremorhax (Eremobatidae), Ammotrechula (Ammotrechidae), as well as an unidentified late stage immature and third stage instar. The suctorial organ is most likely primarily used for prey capture in the wild. q 2005 Elsevier Ltd. All rights reserved.",0.011922052,0.005431106,0.009565478,0.012674827,0.011122879,0.009959718,0.003751598,0.006924377,0.011883911,0.90398,0.005842935,0.009604466,0.006023562,0.013405595,0.023286805,0.006209796,0.004845506,0.007714207,0.008650563,0.009422714,0.003625985,0.009438867,0.005242866,0.012194495,0.008198217,0.00917748,0.007918353,0.017164566,0.024516257,['solifugae'],[0.025641025641025002],[1.0]
7,10.1086/323990,"['The Journal of Experimental Biology', 'First International Conference on Industrialized, Intelligent Construction (I3CON)', 'Physiological and Biochemical Zoology', 'American Entomologist', 'Cimbebasia']",https://www.journals.uchicago.edu/doi/10.1086/323990,On the Mound of Macrotermes michaelseni as an Organ of Respiratory Gas Exchange,"Patterns and rates of air movements in the mounds and nests of Macrotermes michaelseni were studied using tracer methods. Wind is a significant source of energy for powering nest ventilation, despite the mound being a completely enclosed structure. Nests are ventilated by a tidal movement of air driven by temporal variation in wind speed and wind direction. Density gradients sufficiently steep to drive bulk flow by natural convection will be rare. However, metabolism‐induced buoyant forces may interact with wind energy in a way that promotes homeostasis of the mound atmosphere.",0.007920395,0.00402768,0.12055729,0.00287915,0.004121553,0.002868652,0.007161202,0.021111283,0.01701425,0.004501218,0.00939192,0.013724042,0.007613684,0.004006202,0.005369884,0.026474707,0.005715186,0.00821857,0.017370177,0.010891031,0.0071558,0.006974665,0.035506103,0.2308018,0.00680572,0.004295599,0.002005756,0.014556194,0.009770912,"['macrotermes michaelseni', 'macrotermes']","[0.03125, 0.03125]","[1.0, 1.0]"
8,10.1074/JBC.M405842200,"['The Hidden Powers of Animals: Uncovering the Secrets of Nature', 'Journal of Biological Chemistry']",https://www.jbc.org/content/279/34/35950,A Multi-enzyme Cascade of Hemoglobin Proteolysis in the Intestine of Blood-feeding Hookworms*,"Blood-feeding pathogens digest hemoglobin (Hb) as a source of nutrition, but little is known about this process in multicellular parasites. The intestinal brush border membrane of the canine hookworm, Ancylostoma caninum, contains aspartic proteases (APR-1), cysteine proteases (CP-2), and metalloproteases (MEP-1), the first of which is known to digest Hb. We now show that Hb is degraded by a multi-enzyme, synergistic cascade of proteolysis. Recombinant APR-1 and CP-2, but not MEP-1, digested native Hb and denatured globin. MEP-1, however, did cleave globin fragments that had undergone prior digestion by APR-1 and CP-2. Proteolytic cleavage sites within the Hb α and β chains were determined for the three enzymes, identifying a total of 131 cleavage sites. By scanning synthetic combinatorial peptide libraries with each enzyme, we compared the preferred residues cleaved in the libraries with the known cleavage sites within Hb. The semi-ordered pathway of Hb digestion described here is surprisingly similar to that used by Plasmodium to digest Hb and provides a potential mechanism by which these hemoglobinases are efficacious vaccines in animal models of hookworm infection.",0.007960281,0.003985201,0.007283069,0.009486072,0.004510538,0.004896353,0.004934456,0.013019859,0.018986939,0.005242133,0.12219577,0.011400192,0.27656037,0.002215265,0.018669426,0.009167176,0.00325906,0.008717984,0.006407806,0.006653389,0.009872745,0.003819975,0.008925554,0.011643568,0.005038437,0.019538254,0.002969694,0.015149428,0.004316913,['ancylostoma caninum'],[0.018867924528301],[1.0]
9,10.1242/JEB.056549,['The Journal of Experimental Biology'],https://jeb.biologists.org/content/215/8/1247,The diversity of hydrostatic skeletons,"Summary A remarkably diverse group of organisms rely on a hydrostatic skeleton for support, movement, muscular antagonism and the amplification of the force and displacement of muscle contraction. In hydrostatic skeletons, force is transmitted not through rigid skeletal elements but instead by internal pressure. Functioning of these systems depends on the fact that they are essentially constant in volume as they consist of relatively incompressible fluids and tissue. Contraction of muscle and the resulting decrease in one of the dimensions thus results in an increase in another dimension. By actively (with muscle) or passively (with connective tissue) controlling the various dimensions, a wide array of deformations, movements and changes in stiffness can be created. An amazing range of animals and animal structures rely on this form of skeletal support, including anemones and other polyps, the extremely diverse wormlike invertebrates, the tube feet of echinoderms, mammalian and turtle penises, the feet of burrowing bivalves and snails, and the legs of spiders. In addition, there are structures such as the arms and tentacles of cephalopods, the tongue of mammals and the trunk of the elephant that also rely on hydrostatic skeletal support but lack the fluid-filled cavities that characterize this skeletal type. Although we normally consider arthropods to rely on a rigid exoskeleton, a hydrostatic skeleton provides skeletal support immediately following molting and also during the larval stage for many insects. Thus, the majority of animals on earth rely on hydrostatic skeletons.",0.8541661,0.026770487,0.8268464,0.021909917,0.7142545,0.04885945,0.07533453,0.06494649,0.04595014,0.07190078,0.027516507,0.035244796,0.031570915,0.058589872,0.041847706,0.051062725,0.06760636,0.025480738,0.054654237,0.038989272,0.075003214,0.024537943,0.03634543,0.068281606,0.034704085,0.030954309,0.04256546,0.03424184,0.75894463,"['bivalves', 'insects', 'cephalopods', 'mammals', 'arthropods', 'echinoderms', 'spiders']","[0.013157894736842, 0.013157894736842, 0.013157894736842, 0.013157894736842, 0.013157894736842, 0.013157894736842, 0.013157894736842]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
